question,truthValue,snippet,description,results
scotland unicorn is national animal,True,,it 's true unicorn really is official national animal scotland . love for famous mythological creature date back many century . unicorn have featured many culture going far back classical age including ancient babylonian indus civilization . it 's true unicorn really is official national animal scotland . love for famous mythological creature date back many century . unicorn have featured many culture going far back classical age including ancient babylonian indus civilization.traduire cette page celtic mythology unicorn wa symbol purity innocence well masculinity power . tale dominance chivalry associated with ... 9 avr . 2019 it is unicorn . believe hype not it is scotland 's national animal . gateway palace holyroodhouse edinburgh ... scotland 's deep connection with unicorn stem from it celtic culture . celtic mythology believed unicorn represent innocence purity whilst also ... 31 mai 2019 did scotland choose unicorn it national animal ... unicorn associated with purity strength power . pretty admirable ... scotland land breathtaking beauty powerful lineage delicious shortbread . mighty country is treasure trove proud history trip-worthy ... scotland unicorn stand on left royal coat arm whilst england is where lion is found . from india bible . although ... 8 janv . 2018 can see unicorn magical place ... yes very real scotland . ... scottish known for adoration myth ...,2.0
furbies were popular toy introduced noughties,False,,2 feb 2018 perhaps unsurprisingly furby wa part inspired earlier '90s-era electronic pet tamagotchi . early 1997 hampton ... furbies did more than saturate pop culture shop shelf . introduced wider population friendly chatbots . just influential wa success ... hailing one hottest holiday toy late '90s furbies were firm favorite throughout early millennium . were based on dante 's ... 4 jan 2018 1998 hottest holiday toy on shelf wa furby electronic pet released hasbro company tiger electronics.6 jan 2022 these robotic owl-like animal were it toy for 1999 christmas season that popularity continued after turn century.11 apr 2018 harbouring eerie resemblance mogwais creature 1984 warner brother flick gremlin furbies were hottest toy on ... 16 feb 2011 1998 newest electronic plaything hit market wa furby furry animatronic creature that spoke `` furbish '' could eventually ... 9 july 2019 homage mogwai from `` gremlin '' intentionally not furby wa first digital pet that actually seemed alive . introduced ...,478000.0
honeybee fastest flying insect .,False,fastest flying insect certain dragonfly hawk moth both which have been clocked around 35 mph . comparison honey bee have been clocked only 13.9 mph top speed hornet 15.6 mph . fastest flying insect certain dragonfly hawk moth both which have been clocked around 35 mph . comparison honey bee have been clocked only 13.9 mph top speed hornet 15.6 mph . 4 dec 2019,17 jul 2013 hive honey bee `` bible '' beekeeping indicates that bee 's flight speed average about 15 mile per hour 're capable ... 5 sept 2017 according smithsonian title fastest flying insect belongs dragonfly which dart spin dive record 35 ... fast do bee fly fastest speed honeybee recorded is 20 mph we see attack other insect prey on hives.18 dec 2014 my personal opinion out fly wasp bee fly fastest.17 jun 2014 best guess far fastest flier is horsefly it speed wa estimated 145km/h . record is ever beaten it is likely ... 29 nov 2005 being relatively large insect bee would expected beat wing rather slowly sweep across same wide arc other ... 28 apr 2000 detailed study randall hepburn rhodes university south africa treat insect essentially miniature aircraft calculate ... honey bee ... might surprised see humble honey bee on list fact honey bee very quick flier need order ... honey bee last one on list top fastest flying insect is honey bee . is one fastest flying insect world .,165000.0
harry potter first flying broomstick is called firebolt,False,,firebolt wa world-class broomstick . it wa fastest time it production wa released 1993. time firebolt broomstick wa used bulgarian irish international quidditch team . team played on firebolts during 1994 quidditch world cup . firebolt wa world-class broomstick . it wa fastest time it production wa released 1993. time firebolt broomstick wa used bulgarian irish international quidditch team . team played on firebolts during 1994 quidditch world cup.ron weasley seeing harry 's firebolt broomstick for first time 1993 harry potter received firebolt racing broom christmas present from ... ron flying harry 's firebolt from prisoner azkaban ... firebolt is costly broom harry potter wa among first own one.1 de set . de 2021 sirius give upgraded broomstickthe esteemed firebolt . like most thing coveted broomstick wizarding world ... 12 de abr . de 2011 firebolt is fastest broom world . it is used play quidditch one wizard sport . broom is 36 inch length with ... muggles ' guide harry potter - magic . broom . type magical device . feature allows wizard fly . first appearance harry potter stone ... harry potter prisoner azkaban - youtubehttps//www.youtube.com watchhttps//www.youtube.com watch458 youtube solid solution - professional design solution 31 de out . de 2019 31 de out . de 201924 de jan. de 2021 count down ten best flying broom throughout harry potter ... firebolt many professional team known still use 2001s ...,548000.0
all king standard deck card have mustache,False,everyone know that 4 king deck card . one thing that few people know is that three these king have mustache one doe not . use playing card started 14th century . card which also called playing card biggest attraction card it 4 king . everyone know that 4 king deck card . one thing that few people know is that three these king have mustache one doe not . use playing card started 14th century . card which also called playing card biggest attraction card it 4 king . 6 sept 2021,16 sept 2019 2 answers2 day ago mustache on king diamond standard card deck is considered symbol cunning disguise . addition king spade ... 4 oct 2018 take look king heart playing card may notice that is quite unique . is only one without moustache . 15 ... standard deck playing card king heart is only king without mustache deleted not sure is true wa told that king ... 15 jul 2021 1 answer24 jan 2004 diamond club spade association linked respectively with corruption wealth war death . contrast heart ... 21 nov 2008 king heart is only without moustache - not because superior personal hygiene . originally had one it wa lost ... all king save for king heart have moustache . king heart is only card modern standard card deck without mustache.1 . do all king standard deck card have mustache 2. which king is suicide king 3. is king heart stabbing,9040000.0
transylvania is historical region located central romania,True,,transylvania is historical region central northwestern romania . it wa under rule agathyrsi part dacian kingdom 168 bc106 ad ... transylvania is central european region located eastern half carpathian basin present-day central romania . bounded east south ... 4 jan 2021 because transilvania is one region romania with distinct historic background . like other historical region like moldova dobrogea muntenia banat ... transylvania romanian transilvania hungarian erdly german siebenbrgen historic eastern european region now romania . after forming part hungary ... 18 may 2021 transylvania is region central north-west romania . it stretch about 45 said country 's entire surface ... transylvania is historical region today 's central romania . bound on east south carpathian mountain . transylvania historical region now ... 8 oct 2021 transylvania is romania being historical province romania . it wa part austro-hungarian empire for several year . after ... 19 aug 2019 location . transylvania is region located within border present-day romania central part country . transylvania 's history .,711000.0
more country south america than africa,False,,largest country africa area algeria democratic republic congo sudan . algeria is also tenth-largest globally . wealthiest ... 1. brazil 8515767 3287956 largest country area population south america . 2. argentina 2780400 1073518.jun 1 2021 africa is continent with most country 54. south america ha least number country 12. first second most populous ... southern europe . more developed region . botswana . africa . southern africa . le developed region . brazil . latin america caribbean . south america.strictly speaking america consists two continent north america south america . central america caribbean greenland considered ... it is divided politically 12 independent country argentina bolivia brazil chile colombia ecuador guyana paraguay peru suriname uruguay ... oct 19 2010 biggest reason we see fewer economic study africa le data . latin american country order magnitude richer more ... south america ha area 17840000 km 6890000 sq mi almost 3.5 earth 's surface . 2005 it population wa estimated more than ... total double continent ha north-south extension more than 15600 kilometre 9700 mile stretch from arctic cape morris jesup ...,952000000.0
writer agatha christie real name is mary westmacott,True,,dame agatha mary clarissa christie lady mallowan dbe ne miller 15 september 1890 12 january 1976 wa british writer known for 66 detective ... mary wa agatha 's second name westmacott name some distant relative . succeeded keeping identity mary westmacott unknown for nearly ... agatha christie full dame agatha mary clarissa christie ne miller born september 15 1890 torquay devon englanddied january 12 1976 ... apr 27 2017 christie wa born agatha mary clarissa miller on september 15 1890 torquay devon southwest part england . youngest three ... jan 12 2022 's popular that wanted divert from genre write more romantic introspective novel started publishing under ... under pen name mary westmacott christie also wrote six romance novel . christie wa first unsuccessful writer being rejected six time before ... sep 6 2019 not writing some most classic crime thriller all time agatha christie wa writing under alias mary westmacott.feb 11 2020 mary westmacott real agatha christie ... thanks hugely successful detective fiction many film tv adaptation work ... nov 13 2013 dame agatha mary clarissa christie is without doubt queen crime . recently selected cwa 's best ever author also penned ...,56200.0
waterloo ha greatest number tube platform london,True,,2020 it is 5th busiest station on london underground with 16.62 million user . it is served four line bakerloo jubilee northern ... 20 de mai . de 2016 2. it 's biggest . fact it ha more platform greater floor area than any other station uk . sign clapham junction ... 30 de jun . de 2016 waterloo ha 19 platform serviced mainly local suburban train ... known waterloo tube station is managed london underground.many others have platform only accessed step lift . russell square is one few deep level central london tube station with only step ... waterloo is britain 's largest busiest station . london waterloo ha always been place for important arrival departure whether city commuter ... waterloo ha 24 terminal platform use making it biggest station uk term platform number . station is managed network rail ... with it 24 platform track london waterloo is uk 's largest station it 's terminus station access from train is ... waterloo is busiest railway station uk with nearly hundred million ... station term floor space ha greatest number platforms.24 de mai . de 2020 familiar station for many commuter from across surrey london waterloo ... is also waterloo southwark london underground ...,1310000.0
confucius is world-renowned latin philosopher,False,,traduzir esta pgina confucius wa chinese philosopher politician spring autumn period is traditionally considered paragon chinese sage . confucius 's ... de t dijkstra 2021 through jesuit translation confucius wa according one scholar world 's 'first philosopher become famous outside ... confucius 552479 bce known chinese kong qiu also styled zhongni preeminent chinese philosopher teacher . name confucius is latin ... 371 ancient state zou chinadied c. 289 bce china early chinese philosopher whose development orthodox confucianism earned title second sage ... like many great figure cultural history world ... man we now call confucius wa fact known family name kong ... 13 de dez . de 1995 do really know man called some people one world 's greatest philosopher others messiah true wisdomwilliam j. duiker jackson j. spielvogel 2016 historyone most famous manual used for purpose wa yi jing ... confucius 's interest philosophy wa essentially political ethical.william j. duiker jackson j. spielvogel 2016 historyone most famous manual used for purpose wa yi jing ... confucius 's interest philosophy wa essentially political ethical.thierry meynard 2015 philosophyintroduction very name confucius 551479 bc is constant reminder that foremost sage china wa first known west through latin ...,409000.0
14 bone human foot,False,,each foot is made up 26 bone 30 joint more than 100 muscle tendon ligament all which work together provide support balance mobility . each foot is made up 26 bone 30 joint more than 100 muscle tendon ligament all which work together provide support balance mobility.20 de jan. de 2018 26 bone foot consist eight distinct type including tarsal metatarsal phalanx cuneiform talus navicular ... bone joint foot is comprised 28 bone figure 1. where two bone meet joint is formed often supported strong ligaments.225 youtube neural academy 2 de nov. de 2018 2 de nov. de 201831 de jan. de 2019 human foot consists 26 bone . these bone fall three group tarsal bone metatarsal bone phalanges.11 de dez . de 2015 about 26 bone human foot provide structural support . can grouped 3 part follows tarsal bone 7.recently more accurate simulation human character ha been developed based on anatomical structure 9 10 11 12 13 14 15 16 17 18 19.fig 1.0 overview bone human foot . ... distal row four tarsal bone cuboid three cuneiforms.27 de ago . de 2019 tarsal 7 irregularly-shaped bone which situated proximally foot ankle area . metatarsal 5 bone which connect ...,42900000.0
walt disney hold record for most oscar,True,film producer disney hold record for most academy award earned individual having won 22 oscar from 59 nomination . wa presented with two golden globe special achievement award emmy award among other honor . film producer disney hold record for most academy award earned individual having won 22 oscar from 59 nomination . wa presented with two golden globe special achievement award emmy award among other honor .,walt disney 19011966 won received total twenty-six academy award hold record for most academy award history.feb 14 2018 out all nominee academy award history walt disney hold most oscar . disney won 26 oscar over course career wa ... walt disney 190166 won received total twenty-six academy award hold record for most academy award history.walt disney usa received total 64 nomination during career last which won posthumously 1969 for winnie pooh blustery ... disney hold record for most academy award won individual film producer having won 22 oscar from 59 nomination . addition receiving two ... mar 18 2022 with 59 nod walt disney hold record for most oscar nomination . ha second-most with 52walt disney hold record with 59 oscar nomination . ha 2nd most nomination komo staff . wednesday february 24th 2016. userway icon for ...,2710000.0
first football world wa manufactured from pig bladder,True,,oldest football ever found wa made 1540s . it consists pig bladder covered with piece leather possibly from deer . it wa found 1981 stirling castle scotland . course it wa n't always most pleasant task blow up pig bladder use football . oldest football ever found wa made 1540s . it consists pig bladder covered with piece leather possibly from deer . it wa found 1981 stirling castle scotland . course it wa n't always most pleasant task blow up pig bladder use football.5 de ago . de 2000 first properly made ball wa simply pig sheep 's bladder inflated good old fashioned lung power knotted end.31 de jan. de 2014 fact pigskin were originally made out animal bladderssometimes bladder pig which is thought moniker ... 25 de jun . de 2022 football were never made out pig skin . early football were made from animal bladder including from cow deer sometimes ... 20 de dez . de 2019 inflatable rubber bladder wa first made 1862 is credited richard lindon . lindon 's wife died lung disease relatively young ... pig bladder were good supply day were durable . however were not shape typical american football more like soccer ... 19 de dez . de 2013 ... victorian football which wa made primarily from - pig 's bladder . ... that first ball were made entirely from pig 's bladder.made pig 's bladder it would not otherwise have survived . next oldest scottish football according national museum is 18th century date.the first ball were made natural material such inflated pig bladder later put inside leather cover which ha given rise american ...,5760000.0
patient with covid-19 may use ibuprofen aspirin naproxen anti-inflammatory medication,True,,19 mar 2020 fda is aware news report stating use non-steroidal anti-inflammatory drug nsaid such ibuprofen could worsen coronavirus ... av lca esba 2021 citerat av 56 aim study wa ass association acute chronic use nonsteroidal anti-inflammatory drug nsaid with worse covid-19 ... 19 apr . 2020 nsaid include nonselective cyclooxygenase cox inhibitor such ibuprofen aspirin acetylsalicylate diclofenac naproxen well ... av jt reese 2022 citerat av 5 non-steroidal anti-inflammatory drug nsaid commonly used reduce pain fever inflammation have been associated with ... 25 maj 2022 non-steroidal anti-inflammatory drug such ibuprofen aspirin cox-2 inhibitor safe for patient with covid-19 meta-analysis ... verstt den hr sidan av ays wong 2021 citerat av 66 av ays wong 2021 citerat av 66 study 2 we identified people with rheumatoid arthritis/osteoarthritis . we defined exposure current nsaid prescription within 4 month before 1 march ... av q zhou 2022 we included all comparative study that enrolled patient took nsaid during covid-19 pandemic . data extraction quality assessment ... 10 maj 2021 nonsteroidal anti-inflammatory drug nsaid such ibuprofen naproxen do n't worsen illness cause death hospitalized covid-19 ... av q zhou 2022 we included all comparative study that enrolled patient took nsaid during covid-19 pandemic . data extraction quality assessment methodology ...,120.0
light common multiple is full form lcm .,False,full form lcm is least common multiple . full form lcm is least common multiple .,lcm full form= least common multiple several process find lcm . multiple listing method common division method prime factorisation method.11 feb 2018 lcm stand for lowest common multiple it is smallest positive integer that can divisible both given numbers.sr . notermcategorylcm full form1lcmtechnologylamp control module2lcminventorylanded cost management3lcmmilitarylanding craft mechanizedview 67 more rowslcm stand for least common multiple . lowest common multiple also known least common multiple least common denominator is smallest number ... least common multiple can defined lowest positive integer that is multiple given set number . least common multiple is sometimes ... lowest common multiple least common multiple lcm is smallest integer whole number that belongs multiplication table two more ... what doe lcm mean academic science arithmetic number theory least common multiple lowest common multiple smallest common multiple ... what doe lcm mean least common multiple lcm lowest common multiple is smallest positive integer which is divisible each given numbers.definition lcm what doe lcm mean meaning lcm least common multiple lcm stand for least common multiple .,836000.0
is blind spot present human eye also location where optic nerve mostly glide through retina .,True,each eye ha tiny functional blind spot about size pinhead . tiny area where optic nerve pass through surface retina no photoreceptors . since no photoreceptor cell detecting light it creates blind spot . each eye ha tiny functional blind spot about size pinhead . tiny area where optic nerve pass through surface retina no photoreceptors . since no photoreceptor cell detecting light it creates blind spot . 10 apr 2018,blind spot small portion visual field each eye that corresponds position optic disk also known optic nerve head within ... blind spot scotoma is obscuration visual field . particular blind spot known physiological blind spot `` blind point '' punctum ... 28 jul 2020 blind spot is location on retina known optic disk where optic nerve fiber exit back eye.the blind spot . is something kind funky about setup here . photoreceptors back retina ganglion cell front ... 16 nov 2017 cornea transparent circular part front eyeball . it refracts light entering eye onto lens which focus it ... rv abadi 2011 cited 13 visual pathway intact photoreceptor gap is hard wired . moreover blind spot scotoma is fixed located approximately 15 temporal ... 11 jul 2020 spot where optic nerve connects retina ha no light-sensitive cell ca n't see anything . that 's blind spot.30 jan 2020 human most vertebrate optic nerve fiber pas through retina out back eyeball . area where bundled ... charles p. wilkinson david r. hinton srinivas r. sadda 2012 medicalthe position cell relative others same class is also ... eye.5052 where ganglion cell axon gather form optic nerve ...,5990000.0
group crocodile called shrewdness,False,,23 avr . 2018 shrewdness ape . name come ... name shrewdness ha been use for over 500 year ... group crocodile is called bask.16 mar 2022 actually group crocodile is called bask . bask can have 20 more crocodile together . might find large group crocodile ... whenever animal gather group formally called ape shrewdness badger cete bat colony cloud camp bear sloth sleuth bee ... group crocodile water is called float group on land is called ... animal gather group formally called ape shrewdness.tapping multiple choice . thanks mem creator ... shrewdness . what is group ape ... what is group crocodile called harass team.30 mar 2020 1. cackle hyena 2. shrewdness ape 3. raft otter 4. murder ... alex kuskowski 2012 juvenile nonfictiona shrewdness ape gibbon ape that live jungle . ... infant group shrewdness family bask crocodile group crocodile is called.traduire cette page thanks nicholaskawamura for these collective noun for group animal . ... shrewdness . what is group ... what is group crocodile called,26.0
marrakesh is capital morocco,False,,29.03.2021 although marrakech is not capital morocco vibrant city 's appeal never fails entice tourist from around world come ... marrakech wa founded 1062 yusuf ibn tashfin leader moroccan almoravid empire . is also considered one most prominent leader ... saadians took over morocco 1522. mostly ruin leader chose make marrakech capital 1551. under guidance mohammed al mahdi ... 5antwortenit is one four imperial city morocco is capital marrakesh-safi region . city is situated west foothill atlas ... satellite view is showing marrakesh most important former imperial city morocco situated near foothill grand atlas mountain . marrakesh is ... marrakesh is fourth largest city morocco main tourist destination ... 327 kilometre 203 mi southwest moroccan capital rabat ...,5180000.0
penguin cant found on continent africa,False,,2021/10/25 rate decline continues only penguin endemic continent could extinct wild within 15 year . loss food is ... african penguin spheniscus demersus also known cape penguin south african ... can found along coast south africa namibia.2011/09/14 africa ha always been most penguin-free continent southern ... ocean current also explain penguin were unable spread ... 2022/06/08 african penguin spheniscus demersus specie penguin found on african continent . these penguin listed endangered ... 2017/02/22 young african penguin following usual cue feeding ground only find that source food these place is no longer ... 2022/03/30 only 10000 breeding pair left south africa say research manager coastal bird conservation nonprofit - anadolu agency.2018/05/20 african penguin found along coastal area offshore island . preferred habitat flat sandy area with sparse abundant ... 2021/10/21 colony 1000 breeding pair african penguin nest on ... several hundred can found on boulder foxy beach year-round.2017/03/13 young african penguin leave nest for first time ... african penguin population on west coast south africa ... spheniscus demersus african penguin is found only on southwestern coast africa where dispersed colony across 24 different island ...,919000.0
every country world ha rectangular flag,False,nepal is only country modern world that doe not have rectangular national flag . it is crimson with blue border incorporates stylized symbol sun moon . nepal is only country modern world that doe not have rectangular national flag . it is crimson with blue border incorporates stylized symbol sun moon .,28 may 2018 country with non rectangular flag 3. nepal 2. switzerland 1. vatican city.we all know that country flag rectangular . three notable exception rule nepal switzerland vatican city.1 jun 2019 nepal vatican city switzerland country without rectangular flag . well over hundred city state without rectangular flag.this is list non-rectangular flag including flag state territory group movement individual people.17 may 2017 all nation world nepal have rectangular flag . from europe small nation pacific each one hold ... 7 feb 2014 7 feb 2014 even country that were n't directly colonized were influenced european practice . japan china siam all adopted rectangular flag ... 21 sept 2015 switzerland vatican city only two country with square flag . though square technically rectangle square is not ...,131000000.0
