,question,truthValue,snippet,description,results
10,Butterflies are not birds,True,,"1 answer
Butterflies are not considered birds because they lack the key features and characteristics that are evident in all bird species.
Mar 11, 2021 — A new study shows birds can learn to recognize these visual cues, avoiding not only butterflies they've failed to nab in the past but ...
Apr 26, 2018 — Unlike humans, a butterfly's mouthparts are not involved in breathing! After passing through the proboscis and pharynx, nectar goes through the ...
This family features magnificent birds that are usually associated with coastal habitats. Albatrosses are among the largest of flying birds, and the Great ...
Nov 28, 2017 — After all, it is not the butterfly that we recognize as soon as we begin to identify with the world. Nor the birds.
Sep 19, 2020 — Butterflies can fly with their wings just like birds do. Butterflies have scales on their wings and they actually have a sharp edge. When they ...
Oct 8, 2015 — The Impressive Migrating Monarch. Most butterflies do not migrate. They have the ability to overwinter as larvae, pupae, or even adults ...
by V Pellissier · 2020 · Cited by 24 — The increase in abundance as N2000 coverage increased correlated with the specialization index for birds, but not for butterflies.
",36300000.0
11,The capital of France is Washington DC,False,,"Paris is the capital and most populous city of France, with an estimated population of 2,165,423 residents in 2019 in an area of more than 105 km² (41 sq ...
Washington was established as the capital of the United States as the result of a compromise following seven years of negotiation by members of the U.S. ...
9 Feb 2022 — Paris (nicknamed the “City of light”) is the capital city of France and the largest city in France. The area is 105 square kilometres (41 square ...
We tried to do that here in the US but the country expanded and Washington DC is no longer the center. In most countries they don't try. In the case of France ...
capitals <- c( ""France""=""Paris"", ""United Kingdom""=""London"", ""USA""=""Washington DC"", ""Kenya""=""Nairobi"" ) for (i in seq(1, length(capitals))){ capital ...
A listing of all national capitals worldwide including further information to ... France, Paris, 2,206,488 ... United States, Washington, D.C., 724,342.
Nickname: Our Nation's Capital; Statehood: Washington, D.C., isn't a state ... some visitors of another famous capital: Paris, the capital city of France.
",54700000.0
12,There are four lungs found in the human body,False,,"21 June 2021 — The lungs are a pair of spongy, air-filled organs located on either side of the chest (thorax). The trachea (windpipe) conducts inhaled air ...
The lungs and respiratory system allow us to breathe. They bring oxygen into our bodies (called inspiration, or inhalation) and send carbon dioxide out ...
Lungs. The upper respiratory tract is made up of the: Nose. Nasal cavity ... Your body's cells need oxygen to live and carry out their normal functions.
by R Chaudhry · 2021 · Cited by 16 — The purpose of the lung is to provide oxygen to the blood. ... In general, there are four segments in the left upper lobe (anterior, apicoposterior, ...
14 Dec 2018 — The lungs are the main part of your respiratory system. Here is how lungs work as the center of your breathing, the path a full breath takes ...
The main organ of the respiratory system is the lungs. Other respiratory organs include the nose, the trachea and the breathing muscles (the diaphragm and ...
The diaphragm is the flat, dome-shaped muscle located at the base of the lungs and thoracic cavity. The lungs are enclosed by the pleurae, which are attached to ...
Approximately 300 million alveoli are in the lungs. The average diameter of the alveoli is approximately 250um and their walls are extremely thin. There are two ...
",179000000.0
13,The human body consists of 150 bones,False,,"There are a total of 206 bones in the adult human body. They range in size from the tiniest found in the middle ear, to the largest that forms our thigh.
human skeleton, the internal skeleton that serves as a framework for the body. This framework consists of many individual bones and cartilages.
Jun 26, 2019 — Adults, on the other hand, have 206 bones, which make up about 15 percent of their body weight.
The human skeleton of an adult consists of around 206 bones, depending on the counting of sternum (which may alternatively be included as the manubrium, ... Missing: 150 150
Apr 16, 2019 — Only 34 per cent of adults know there are 206 bones in the human body, with almost one in 10 believing they have more than 400. It also emerged ...
In humans, as in all organisms, cells perform all functions of life. A tissue is a group of many similar cells (though sometimes composed of a few related types) ...
Nov 6, 2019 — Because different teeth form at different points during childhood, and different bones in the skeleton remodel at different rates, these hard ...
",166000000.0
14,Jupiter is the smallest planet in the solar system,False,,"The largest planet in our solar system by far is Jupiter, which beats out all the other planets in both mass and volume. Jupiter's mass is more than 300 ...
Mercury is the smallest planet in our solar system. It's a little bigger than Earth's Moon. It is the closest planet to the Sun, but it's actually not the ...
On Mercury, one day lasts 59 Earth days. Mercury takes 88 Earth days to complete one orbit around the Sun; Mercury is a terrestrial planet, which means it is ...
Sep 16, 2021 — Jupiter is the largest planet in the solar system and is the fifth farthest planet from the Sun. it has a radius of 43,441 miles, making it 11 ...
If we put our planets in 'size order' they would be listed as the following, from large to small: Jupiter, Saturn, Uranus, Neptune, Earth, Venus, Mars, and ...
Jan 23, 2018 — The biggest planet in the solar system by volume and mass is Jupiter while the smallest is Mercury. The best way to measure the size of ...
Of all 8 planets, Mercury is the smallest planet in the solar system, whereas Jupiter is the largest planet. All other planets have different size scales, ...
",982000.0
15,Mt. Everest is the highest mountain in the world,True,"Mount Everest Snowdrift. Mount Everest is the highest of the Himalayan mountains, and—at 8,850 meters (29,035 feet)—is considered the highest point on Earth. Mount Everest is a peak in the Himalaya mountain range. It is located between Nepal and Tibet, an autonomous region of China. Mount Everest Snowdrift. Mount Everest is the highest of the Himalayan mountains, and—at 8,850 meters (29,035 feet)—is considered the highest point on Earth. Mount Everest is a peak in the Himalaya mountain range. It is located between Nepal and Tibet, an autonomous region of China. 19 May 2022","19 Jan 2022 — Mount Everest's peak is the highest altitude above mean sea level at 29,029 feet [8,848 meters]. Mount Chimborazo's peak is the furthest point ...
26 May 2020 — Mt. Everest, at 8,850 meters (29,035 feet) above sea level, undeniably claims the point of highest altitude in the world. The title of “tallest ...
26 Dec 2021 — Mount Everest is the tallest mountain above sea level, while Mauna Kea can certainly claim to be the world's tallest mountain (when sea level ...
Mauna Kea is over 10,000 meters tall compared to 8,848.86 meters for Mount Everest - making it the ""world's tallest mountain."" Mauna Kea - Tallest Mountain.
Mountain rangeHighest mountainHeightCountriesHimalayasMount Everest8,848 mNepal, ChinaKarakoramK28,611 mPakistanHindu KushTirich Mir7,708 mPakistanView 78 more rows
12 May 2022 — Reaching an elevation of 29,032 feet (8,849 metres), Mount Everest is the highest mountain in the world. Mount Everest. Mount Everest. © Arsgera ...
1 Mar 2020 — The highest mountain in the world is Mount Everest, sitting pretty at 8,848m in the Himalayas in Nepal. It's likely you already knew that. After ...
Mount Everest has been the inspiration for many Guinness World Records: from the simple fact of being the world's highest peak, to being the venue for the ...
",4360000.0
16,Seeds of cotton get dispersed by water,False,papus papus,"3 answers
Aug 6, 2020 — Cotton, Madar, and dandelion seeds are dispersed by wind. They have fine, long hair around them. So, they are easily carried away by the wind.
Many marine, beach, pond, and swamp plants have waterborne seeds, which are buoyant by being enclosed in corky fruits or air-containing fruits or both; examples ...
Feb 2, 2014 — Many plants have seeds that use water as a means of dispersal. The seeds float away from the parent plant. Mangrove trees live in estuaries.
12:52 YouTube naturalistoutreach May 20, 2012 May 20, 2012
Some fruit have built-in mechanisms so they can disperse by themselves, whereas others require the help of agents like wind, water, and animals (Figure 1).
Q. Cotton seeds are light and are covered with hair. Which agent is most likely to disperse cotton seeds? Science. Standard V.
Numerous species of flowering trees and shrubs in many diverse and unrelated plant families have evolved this ingenious method of seed dispersal, good examples ...
Some seeds have spine-like structures on them. They get stuck to the fur of animals and thus get spread to different places. Examples; Beggar tick, Xanthium, ...
",2280000.0
17,Molecule is the smallest unit of matter,False,c) Molecule: Molecules are a group of atoms bonded together; representing the smallest fundamental unit of a chemical compound that can take part in a chemical reaction this implies that they can be further divided into atoms. c) Molecule: Molecules are a group of atoms bonded together; representing the smallest fundamental unit of a chemical compound that can take part in a chemical reaction this implies that they can be further divided into atoms.,"1 answer
Why molecule is the smallest unit of matter? — Why molecule is the smallest unit of matter? The basic particles that make up an atom are electrons protons ...
9 Aug 2019 — Atom: An atom is the smallest particle of matter. For example, carbon atom, oxygen atom, etc. Molecule: A molecule is made up of two or more than two atoms ...
1 answer The ""Atom"" is the smallest unit of matter. · Neutrino has: · ______ & molecules are the fundamental building blocks of matter. · Which of the following processes ...
1 answer
Learn about the structure of the atom, and how atoms make up matter. An atom is the smallest unit of matter that retains all of the chemical properties of ...
6 Jan 2022 — Neutrons and protons proved to be equally large and massive – about 2,000 times the size of an electron. Can we pull the matter further apart? I ...
2 answers
",3830000.0
18,The Sahara desert is the biggest desert in the world,True,,"Feb 24, 2022 — The Sahara is the largest hot desert in the world and the third-largest desert overall, behind the cold deserts of Antarctica and the Arctic ...
Sahara, (from Arabic ṣaḥrāʾ, “desert”) largest desert in the world. Filling nearly all of northern Africa, it measures approximately 3000 miles (4800 km) ...
With an area of 9,200,000 square kilometres (3,600,000 sq mi), it is the largest hot desert in the world and the third-largest desert overall, smaller only ...
The rest of Earth's deserts are outside of the polar areas. The largest is the Sahara Desert, a subtropical desert in northern Africa. It covers a surface area ...
Dec 13, 2012 — The Sahara is not the largest desert in the world. Antarctica is the largest desert in the world. Deserts are not defined by hot temperatures ...
Jul 14, 2020 — The Sahara is the largest hot desert in the world and can reach temperatures of up to 122 degrees Fahrenheit (50 degrees Celsius) during the day ...
Arctic DesertSahara DesertAustralian DesertThe Arabian DesertGobi DesertKalahari DesertPatagonian DesertSyrian DesertGreat Basin
May 21, 2021 — The Antarctic Polar Desert, which makes up the vast majority of Antarctica, is the largest desert in the world. In fact, this single desert is ...
",25500000.0
19,A group of monkeys is called a herd,False,• Monkeys: a barrel or a troop. • Monkeys: a barrel or a troop. PDF,"Monkeys: a barrel or troop; Mules: a pack; Otters: a family; Oxen: a team or yoke; Owls: a parliament; Parrots: a pandemonium; Pigs: ...
Aug 2, 2021 — According to the Oxford Dictionaries list of proper terms for groups of things, organized gatherings of kangaroos, monkeys, and baboons are all ...
Mar 30, 2020 — They're more commonly called a herd, but a zeal or dazzle of zebras has such a nice ...
Collective names for mammals of Africa ; Impalas, Herd ; Leopards, Leap ; Lions, Pride, Sault, Troop ; Monkeys, Troop, Barrel, Carload, Cartload, Tribe ; Otters ...
6 days ago — Animal Group Names · Apes: troop or shrewdness · Baboons: troop or flange · Badgers: cete · Bats: colony or cauldron · Bears: sleuth or sloth ...
1 answer
ClassificationSpecies NameGroup NameMammalsapesshrewdnessassespacebadgersceteView 105 more rows
Jun 9, 2020 — At first, I didn't believe him. So I looked it up. In fact, a collection of baboons can be called either a “flange” or a “troop.” But it is ...
Monkeys are always found in groups. Therefore, a tribe, troop, or cartload can be used for a group of male monkeys.
",1050000.0
20,A century consists of one hundred years,True,,"Start and end of centuries — A century is a period of 100 years. Centuries are numbered ordinally in English and many other languages. The word century ...
recurring once in every 100 years: a centenary celebration. noun, plural cen·ten·ar·ies. a centennial. a period of 100 years; century.
A century is a period of a hundred years that is used when stating a date. For example, the 19th century was the period from 1801 to 1900.
Consisting of a hundred years, or completing that term. Pertaining to a hundred years. Happening every hundred years. The “anniversary” meaning for both ...
To complete a century, one must complete 100 years; the first century of our era ran from the beginning of A.D. 1 to the end of A.D.
A century is a period of 100 years, derived from the Latin word “centum”, meaning “one hundred”. Therefore, if a decade is 10 years and a century is 100 years, ...  ·  20 votes:  Normally, the term century comes from Latin Centuria meaning group of one hundred. So, ...
Any period of 100 years, as from 1620 to 1720 · The definition of a century is a 100-year-long period of time. · One of the 193 electoral divisions of the Roman ...
10 decades = 100 years = 1 century. Thus, There are ten decades in a century.
",1260000000.0
21,Chlorophyll is responsible for green color in plants.,True,"Chlorophyll gives plants their green color because it does not absorb the green wavelengths of white light. That particular light wavelength is reflected from the plant, so it appears green. Plants that use photosynthesis to make their own food are called autotrophs. Chlorophyll gives plants their green color because it does not absorb the green wavelengths of white light. That particular light wavelength is reflected from the plant, so it appears green. Plants that use photosynthesis to make their own food are called autotrophs. 15 Jul 2022","28 Aug 2019 — So, plants and their leaves look green because the “special pair” of chlorophyll molecules uses the red end of the visible light spectrum to ...
Chlorophyll is responsible for the green color of many plants and algae. A microscope image of plant cells, with chloroplasts visible as small green balls. Seen ...
Green plants are green because they contain a pigment called chlorophyll. Chlorophyll absorbs certain wavelengths of light within the visible light spectrum. As ...
by O Virtanen · 2020 · Cited by 8 — The data show that the green colour of leaves is caused by preferential absorption of blue and red light by chlorophyll, not by reflection of ...
30 Jul 2020 — The pigments — chlorophylls, in green plants — absorb light and transfer the energy to a reaction center, where the production of chemical ...
28 Jul 2021 — Chlorophyll is a green pigment found in all plants. This green pigment is not only responsible for giving plants their green color, ...
Q. Apart from chlorophyll, algae have several other pigments in their chloroplast. What pigments are found in blue,green, red and brown algae, that are ...
7 Jul 2022 — Chlorophyll is found in virtually all photosynthetic organisms, including green plants, cyanobacteria, and algae. It absorbs energy from ...
14 Dec 2016 — For example, some carotenoids appear red to our eye because they absorb green. Most of the time, a plant appears green rather than another color ...
",2800000.0
22,Crocodiles shed tears when they eat food,True,,"The cause of tears in crocodilians is unclear. Apparently they hiss a lot while eating and so something to do with sinuses might be activating the tear glands. But they also shed tears just from being on land for a while, whether or not they are eating. The cause of tears in crocodilians is unclear. Apparently they hiss a lot while eating and so something to do with sinuses might be activating the tear glands. But they also shed tears just from being on land for a while, whether or not they are eating. 2018/05/10
2012/07/05 — Today I found out crocodiles really do shed tears when they eat. It has been known for centuries that crocodiles weep while eating.
2:55 YouTube Today I Found Out 2016/06/28 2016/06/28
2007/10/04 — When someone feigns sadness they 'cry crocodile tears,' a phrase that comes from an old myth that the animals cry while eating. Now, a ...
2021/05/28 — The conclusive research in 2006 has for now ended the debate and it was proved that crocodiles indeed weep while they eat as there is an ...
When they taste or eat food, they start to cry. If a mom says her son has a bad case of “crocodile tears” she probably means he isn't really hurt or doesn't ...
The phrase derives from an ancient belief that crocodiles shed tears while consuming their prey, and as such is present in many modern languages, ...
2021/07/20 — Crocodiles do actually cry. When they spend enough time out of the water, their eyes dry out so they weep to keep them lubricated. The belief ...
2019/07/19 · 回答 4 件
",7160000.0
23,The US shares borders with three countries,False,"The country borders Canada in the north and has a 3,155 km long border to Mexico in the south. The United States shares maritime borders with the Bahamas, Cuba, and Russia (in Alaska). The country borders Canada in the north and has a 3,155 km long border to Mexico in the south. The United States shares maritime borders with the Bahamas, Cuba, and Russia (in Alaska).","While the United States has relatively complicated maritime boundaries, it shares international land borders with only two nations: ... United States also shares a maritime boundary with the Bahamas and three ...
23 Feb 2018 — The US shares its land borders with two nations, Mexico and Canada.
18 Sept 2018 — Here is the list of states that borders Canada · 1.) Alaska- Also Alaska borders parts of Russia to. · 2). Washington · 3.) Idaho · 4.) Montana · 5.) North Dakota · 6 ...
19 Mar 2022 — The United States shares international land borders with two nations: The Canada–United States border to the north of the Contiguous United ...
9 Nov 2006 — The length of the Alaska-Canada border alone is 1,538 miles. The tables below list the 13 U.S. states that share international boundaries ...
by JC Beaver · Cited by 50 — U.S. states that share international boundaries with Canada and the ... CRS-3 updated several times thereafter. These figures reflect the ...
From the National Museum of American History and U.S. Citizenship and Immigration Services. ... Canada is the country to the north of the United States.
",82300000.0
24,The tallest building in the world is Burj Khalifa.,True,,"Not only is Burj Khalifa the world's tallest building but it has also broken two other impressive records: tallest structure, previously held by the KVLY-TV ...
Burj Khalifa, Khalifa also spelled Khalīfah, mixed-use skyscraper in Dubai, United Arab Emirates, that is the world's tallest building, according to all ...
Dubai's 828 m (2716 ft 6 in) high Burj Khalifa became the tallest building in the world, when it was officially opened in January 2010.
Burj Dubai is the tallest building that has ever been built. The world's tallest skyscraper, located in the United Arab Emirates, is 828 metres tall.
26 maj 2022 — Standing at 2,716.5 feet, Dubai's Burj Khalifa is the tallest building in the world. It's so tall that people on the top and bottom of the ...
22 okt. 2021 — Burj Khalifa, the tallest building in the world, stands at a whopping 829.8 m (tip to tip). There are 163 floors in the tall skyscraper.
26 maj 2022 — Standing at 2,716.5 feet, Dubai's Burj Khalifa is the tallest building in the world. It's so tall that people on the top and bottom of the ...
28 maj 2022 — Standing at 829.8 metres, Dubai's Burj Khalifa is the tallest building in the world. It's so tall that people on the top and bottom of the ...
",
