,question,truthValue,snippet,description,results
10,Butterflies are not birds,True,,"1 resposta
Butterflies are not considered birds because they lack the key features and characteristics that are evident in all bird species.
19 de set. de 2020 — Butterflies can fly with their wings just like birds do. Butterflies have scales on their wings and they actually have a sharp edge. When they ...
Why is a butterfly not a bird? — Answer: Insects have two pairs of wings, while bats and birds each have one pair. … Butterfly wings are covered ...
This family features magnificent birds that are usually associated with coastal habitats. Albatrosses are among the largest of flying birds, and the Great ...
Biodiversity is not only important in its own right, it also provides society with a wide range of ecosystem services upon which we depend, such as food, ...
11 de mar. de 2021 — A new study shows birds can learn to recognize these visual cues, avoiding not only butterflies they've failed to nab in the past but ...
8 de out. de 2015 — The Impressive Migrating Monarch. Most butterflies do not migrate. They have the ability to overwinter as larvae, pupae, or even adults ...
de V Pellissier · 2020 · Citado por 24 — The increase in abundance as N2000 coverage increased correlated with the specialization index for birds, but not for butterflies.
",34100000.0
11,The capital of France is Washington DC,False,,"Paris is the capital and most populous city of France, with an estimated population of 2,165,423 residents in 2019 in an area of more than 105 km² (41 sq ...
Paris, city and capital of France, situated in the north-central part of the country. People were living on the site of the present-day city, located along ... Missing: Washington Washington
11 Jul 2020 — Parris is. capital of france.
Nickname: Our Nation's Capital; Statehood: Washington, D.C., isn't a state ... some visitors of another famous capital: Paris, the capital city of France.
The largest city and capital is Paris. ... Embassy of France in Washington, D.C. ... Searchable map and satellite view of France's capital. Google Earth ...
President Washington first took office in New York City, but, when reelected in 1792, the capital had already moved to Philadelphia where it would remain for a ...
",126000000.0
12,There are four lungs found in the human body,False,,"Humans have two lungs, a right lung, and a left lung. They are situated within the thoracic cavity of the chest. The right lung is bigger than the left, which shares space in the chest with the heart. The lungs together weigh approximately 1.3 kilograms (2.9 lb), and the right is heavier. Humans have two lungs, a right lung, and a left lung. They are situated within the thoracic cavity of the chest. The right lung is bigger than the left, which shares space in the chest with the heart. The lungs together weigh approximately 1.3 kilograms (2.9 lb), and the right is heavier.
21 juni 2021 — The lungs are a pair of spongy, air-filled organs located on either side of the chest (thorax). The trachea (windpipe) conducts inhaled air ...
Översätt den här sidan The lungs and respiratory system allow us to breathe. They bring oxygen into our bodies (called inspiration, or inhalation) and send carbon dioxide out ...
Lungs. The upper respiratory tract is made up of the: Nose. Nasal cavity ... Your body's cells need oxygen to live and carry out their normal functions.
av R Chaudhry · 2021 · Citerat av 16 — The purpose of the lung is to provide oxygen to the blood. ... In general, there are four segments in the left upper lobe (anterior, apicoposterior, ...
The broad coastal surface of the lungs is pressed against the rib cage, while the ... of the lungs become smaller, the structure of their walls changes.
14 dec. 2018 — They look like tiny grape bunches or very tiny balloons. There are about 600 million alveoli in your lungs. The small bubble shapes of the ...
The lungs are the major organs of the respiratory system, and are divided into ... As the blood cells release the oxygen they pick up carbon dioxide, ...
",180.0
13,The human body consists of 150 bones,False,,"The adult human skeleton is made up of 206 bones. These include the bones of the skull, spine (vertebrae), ribs, arms and legs. Bones are made of connective tissue reinforced with calcium and specialised bone cells. Most bones also contain bone marrow, where blood cells are made. The adult human skeleton is made up of 206 bones. These include the bones of the skull, spine (vertebrae), ribs, arms and legs. Bones are made of connective tissue reinforced with calcium and specialised bone cells. Most bones also contain bone marrow, where blood cells are made.
There are a total of 206 bones in the adult human body. They range in size from the tiniest found in the middle ear, to the largest that forms our thigh.
In terms of tissue type, the body may be analyzed into water, fat, connective tissue, muscle, bone, etc. In terms of cell type, the body contains hundreds ...
human skeleton, the internal skeleton that serves as a framework for the body. This framework consists of many individual bones and cartilages.
2020/08/28 — At its simplest, the body is made up of just four types of particle.
2019/04/16 — “Bones have many functions – as well as supporting the body structurally, they also protect our vital organs, allow us to move, are where blood ...
2019/07/31 — The human body contains enough fat to make seven bars of soap. 30. Between birth and death, the human body goes from having 300 bones, to just ...
2019/06/26 — The framework of bones and joints in the human body is both complex and ... The part of the body that contains the most bones is the hand.
2022/06/13 — It comprises cartilage and bone tissues that collaboratively protect the brain and other sense organs located within the skull. Spine: The human ...
",146000000.0
14,Jupiter is the smallest planet in the solar system,False,,"The largest planet in our solar system by far is Jupiter, which beats out all the other planets in both mass and volume. Jupiter's mass is more than 300 ...
2015/11/25 — The smallest planet in the solar system, Mercury and the largest planet, Jupiter provide many clues to the formation of our solar system, the ...
2:13 YouTube Sky & Telescope 2021/10/14 2021/10/14
このページを訳す A. Mars ; B · Jupiter ; C · Mercury ; D · Earth.  ·  ベストアンサー:  Planets are enormous astronomical bodies that are neither stars nor stellar remnants.The solar system is the gravitationally bound system that includes ...
Fifth in line from the Sun, Jupiter is, by far, the largest planet in the solar system – more than twice as massive as all the other planets combined.
Mercury is the smallest planet in our solar system; Jupiter is the largest.Pluto was once considered to be the smallest planet, but since Pluto is no longer ...
The four smaller inner planets, Mercury, Venus, Earth and Mars, ... Sun) is the closest planet to the Sun and the smallest planet in the Solar System (0.055 ...
回答 1 件
Jupiter is the smallest planet of the solar system. - Doubtnuthttps://www.doubtnut.com › jupiter-is...https://www.doubtnut.com › jupiter-is... · このページを訳す
",878000.0
15,Mt. Everest is the highest mountain in the world,True,"Mount Everest is the highest of the Himalayan mountains, and—at 8,850 meters (29,035 feet)—is considered the highest point on Earth. Mount Everest is a peak in the Himalaya mountain range. It is located between Nepal and Tibet, an autonomous region of China. Mount Everest is the highest of the Himalayan mountains, and—at 8,850 meters (29,035 feet)—is considered the highest point on Earth. Mount Everest is a peak in the Himalaya mountain range. It is located between Nepal and Tibet, an autonomous region of China. 19-May-2022","19-Jan-2022 — Mount Everest's peak is the highest altitude above mean sea level at 29,029 feet [8,848 meters]. Mount Chimborazo's peak is the furthest point ...
26-Dec-2021 — Mount Everest is the tallest mountain above sea level, while Mauna Kea can certainly claim to be the world's tallest mountain (when sea level ...
Mauna Kea is over 10,000 meters tall compared to 8,848.86 meters for Mount Everest - making it the ""world's tallest mountain."" Mauna Kea - Tallest Mountain.
Mountain rangeHighest mountainHeightCountriesHimalayasMount Everest8,848 mNepal, ChinaKarakoramK28,611 mPakistanHindu KushTirich Mir7,708 mPakistanView 78 more rows
12-May-2022 — Reaching an elevation of 29,032 feet (8,849 metres), Mount Everest is the highest mountain in the world. Mount Everest. Mount Everest. © Arsgera ...
Mount Everest is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas. The China–Nepal border runs across ...
01-Mar-2020 — The highest mountain in the world is Mount Everest, sitting pretty at 8,848m in the Himalayas in Nepal. It's likely you already knew that. After ...
Mount Everest has been the inspiration for many Guinness World Records: from the simple fact of being the world's highest peak, to being the venue for the ...
",3040000.0
16,Seeds of cotton get dispersed by water,False,papus papus,"3 answers
2 Feb 2014 — Many plants have seeds that use water as a means of dispersal. The seeds float away from the parent plant. Mangrove trees live in estuaries.
6 Aug 2020 — Cotton, Madar, and dandelion seeds are dispersed by wind. They have fine, long hair around them. So, they are easily carried away by the wind.
Many marine, beach, pond, and swamp plants have waterborne seeds, which are buoyant by being enclosed in corky fruits or air-containing fruits or both; examples ...
12:52 YouTube naturalistoutreach 21 May 2012 21 May 2012
Q. Cotton seeds are light and are covered with hair. Which agent is most likely to disperse cotton seeds? Science. Standard V.
Some seeds have spine-like structures on them. They get stuck to the fur of animals and thus get spread to different places. Examples; Beggar tick, Xanthium, ...
Numerous species of flowering trees and shrubs in many diverse and unrelated plant families have evolved this ingenious method of seed dispersal, good examples ...
Some fruit have built-in mechanisms so they can disperse by themselves, whereas others require the help of agents like wind, water, and animals (Figure 1).
",2440000.0
17,Molecule is the smallest unit of matter,False,c) Molecule: Molecules are a group of atoms bonded together; representing the smallest fundamental unit of a chemical compound that can take part in a chemical reaction this implies that they can be further divided into atoms. c) Molecule: Molecules are a group of atoms bonded together; representing the smallest fundamental unit of a chemical compound that can take part in a chemical reaction this implies that they can be further divided into atoms.,"1 answer
Dec 6, 2018 · 8 answers
Why molecule is the smallest unit of matter? — Why molecule is the smallest unit of matter? The basic particles that make up an atom are electrons protons ...
1 answer The ""Atom"" is the smallest unit of matter. · Neutrino has: · ______ & molecules are the fundamental building blocks of matter. · Which of the following processes ...
1 answer
Learn about the structure of the atom, and how atoms make up matter. An atom is the smallest unit of matter that retains all of the chemical properties of ...
Jan 6, 2022 — 1). The atom is the smallest and most fundamental unit of matter. It consists of a nucleus surrounded by electrons. Atoms combine to form ...
Aug 24, 2021 — A molecule is the smallest unit of a chemical compound. A compound is a substance made of two or more elements. The elements in a chemical ...
",4110000.0
18,The Sahara desert is the biggest desert in the world,True,,"The Sahara Desert is the largest hot desert in the world, and the third largest overall after the Antarctica and the Arctic. The Sahara Desert covers an incredible 9.2 million km², which is almost the same size as China, and a total of 8% of the earth's land area. The Sahara Desert is the largest hot desert in the world, and the third largest overall after the Antarctica and the Arctic. The Sahara Desert covers an incredible 9.2 million km², which is almost the same size as China, and a total of 8% of the earth's land area.
With an area of 9,200,000 square kilometres (3,600,000 sq mi), it is the largest hot desert in the world and the third-largest desert overall, smaller only ...
2022/02/24 — The Sahara is the largest hot desert in the world and the third-largest desert overall, behind the cold deserts of Antarctica and the Arctic ...
Sahara, (from Arabic ṣaḥrāʾ, “desert”) largest desert in the world. Filling nearly all of northern Africa, it measures approximately 3000 miles (4800 km) ...
2012/12/13 — The Sahara is not the largest desert in the world. Antarctica is the largest desert in the world. Deserts are not defined by hot temperatures ...
2020/10/13 — The Antarctic is classified as a polar desert. Measuring 5.5 million square miles, it is the largest desert in the world. · The Sahara is the ...
The rest of Earth's deserts are outside of the polar areas. The largest is the Sahara Desert, a subtropical desert in northern Africa. It covers a surface area ...
At over 9 million square kilometers in size and covering most of North Africa, the largest sand desert in the world is the Sahara Desert by quite some way.
2020/07/14 — The Sahara is the largest hot desert in the world and can reach temperatures of up to 122 degrees Fahrenheit (50 degrees Celsius) during the day ...
2022/05/16 — The largest hot desert in the world is the Sahara Desert. While both the Arctic and Antarctic deserts are larger in size, they are cold deserts ...
",26600000.0
19,A group of monkeys is called a herd,False,• Monkeys: a barrel or a troop. • Monkeys: a barrel or a troop. PDF,"Monkeys: a barrel or troop; Mules: a pack; Otters: a family; Oxen: a team or yoke; Owls: a parliament; Parrots: a pandemonium; Pigs: ...
30 Mar 2020 — They're more commonly called a herd, but a zeal or dazzle of zebras has such a nice ...
Collective names for mammals of Africa ; Impalas, Herd ; Leopards, Leap ; Lions, Pride, Sault, Troop ; Monkeys, Troop, Barrel, Carload, Cartload, Tribe ; Otters ...
6 days ago — Here is a comprehensive list of collective names for a variety of animals. Whenever animals gather in groups, they are called the following.
The collective name for a group of apes is called a shrewdness. B for Butterflies. A group of butterflies is called a kaleidoscope (and when you imagine a ...
ClassificationSpecies NameGroup NameMammalsapesshrewdnessassespacebadgersceteView 105 more rows
The collective nouns for groups of some animals are well known – a pride of lions or a herd of buffalo for example. Here I've started with my personal ...
2 Aug 2021 — According to the Oxford Dictionaries list of proper terms for groups of things, organized gatherings of kangaroos, monkeys, and baboons are all ...
17 Sept 2019 — What to call a group of animals? ; A troop or cartload of monkeys · A barren or span of mules · A watch of nightingales · A parliament of owls.
",975000.0
20,A century consists of one hundred years,True,,"Start and end of centuries — A century is a period of 100 years. Centuries are numbered ordinally in English and many other languages. The word century ...
recurring once in every 100 years: a centenary celebration. noun, plural cen·ten·ar·ies. a centennial. a period of 100 years; century.
8 Sept 2018 — A century is a period of 100 years, derived from the Latin word “centum”, meaning “one hundred”. Therefore, if a decade is 10 years and a century is 100 years, ...
Consisting of a hundred years, or completing that term. Pertaining to a hundred years. Happening every hundred years. The “anniversary” meaning for both ...
A century is a period of a hundred years that is used when stating a date. For example, the 19th century was the period from 1801 to 1900.
23 Jul 2022 — A century is a period of 100 years. ... The word century comes from the Latin centum, meaning one hundred. Century is sometimes abbreviated ...
Century is a period of a hundred years, for example, the 19th or 20th century. The 19th century includes the years between 1901-2000. Whereas a period lasting ...
Eras and ages are usually made up of more than one century (one hundred years). When we find out about an age or era, we can learn about what happened at ...
100; the second century began with the year A.D. 101. While the period 1900-1999 is of course a century, as is any period of 100 years, it is incorrect to label ...
",1180000000.0
21,Chlorophyll is responsible for green color in plants.,True,"Chlorophyll gives plants their green color because it does not absorb the green wavelengths of white light. That particular light wavelength is reflected from the plant, so it appears green. Plants that use photosynthesis to make their own food are called autotrophs. Chlorophyll gives plants their green color because it does not absorb the green wavelengths of white light. That particular light wavelength is reflected from the plant, so it appears green. Plants that use photosynthesis to make their own food are called autotrophs. Jul 15, 2022","Green plants are green because they contain a pigment called chlorophyll. Chlorophyll absorbs certain wavelengths of light within the visible light spectrum. As ...
Aug 28, 2019 — So, plants and their leaves look green because the “special pair” of chlorophyll molecules uses the red end of the visible light spectrum to ...
Jul 30, 2020 — The pigments — chlorophylls, in green plants — absorb light and transfer the energy to a reaction center, where the production of chemical ...
Chlorophyll is the pigment which is responsible for the green colour of plants ... Plants appear green due to the presence of a pigment called chlorophyll.
Chlorophyll is responsible for the green color of many plants and algae. A microscope image of plant cells, with chloroplasts visible as small green balls. Seen ...
by O Virtanen · 2020 · Cited by 8 — Plant leaves are green because they contain the green photosynthetic pigments, chlorophylls a and b. Popular science literature, and sometimes ...
Jul 28, 2021 — Chlorophyll is a green pigment found in all plants. This green pigment is not only responsible for giving plants their green color, ...
Jul 7, 2022 — Chlorophyll is found in virtually all photosynthetic organisms, including green plants, cyanobacteria, and algae. It absorbs energy from ...
Answer 2: Chlorophyll is a green pigment that gives most plants their color. The reason that it is green is because it absorbs other colors of light such ...
",2210000.0
22,Crocodiles shed tears when they eat food,True,"The cause of tears in crocodilians is unclear. Apparently they hiss a lot while eating and so something to do with sinuses might be activating the tear glands. But they also shed tears just from being on land for a while, whether or not they are eating. The cause of tears in crocodilians is unclear. Apparently they hiss a lot while eating and so something to do with sinuses might be activating the tear glands. But they also shed tears just from being on land for a while, whether or not they are eating. May 10, 2018","Jul 5, 2012 — Today I found out crocodiles really do shed tears when they eat. It has been known for centuries that crocodiles weep while eating.
2:55 YouTube Today I Found Out Jun 27, 2016 Jun 27, 2016
Oct 4, 2007 — When someone feigns sadness they “cry crocodile tears,” a phrase that comes from an old myth that the animals cry while eating.
May 28, 2021 — The conclusive research in 2006 has for now ended the debate and it was proved that crocodiles indeed weep while they eat as there is an ...
While scientists don't believe that crocodiles are capable of sympathy, crocodiles do tend to shed tears while eating. This is likely a physical response that ...
The phrase derives from an ancient belief that crocodiles shed tears while consuming their prey, and as such is present in many modern languages, ...
Jul 20, 2021 — Crocodiles do actually cry. When they spend enough time out of the water, their eyes dry out so they weep to keep them lubricated. The belief ...
4 answers
",5800000.0
23,The US shares borders with three countries,False,"The country borders Canada in the north and has a 3,155 km long border to Mexico in the south. The United States shares maritime borders with the Bahamas, Cuba, and Russia (in Alaska). The country borders Canada in the north and has a 3,155 km long border to Mexico in the south. The United States shares maritime borders with the Bahamas, Cuba, and Russia (in Alaska).","While the United States has relatively complicated maritime boundaries, it shares international land borders with only two nations: ... United States also shares a maritime boundary with the Bahamas and three ...
Feb 23, 2018 — The US shares its land borders with two nations, Mexico and Canada.
The United States of America (48 States, Alaska and Hawaii) currently borders: By Land and Sea: Canada; Mexico. By Sea (Maritime Borders):.
Nov 9, 2006 — The length of the Alaska-Canada border alone is 1,538 miles. The tables below list the 13 U.S. states that share international boundaries ...
by JC Beaver · Cited by 50 — U.S. states that share international boundaries with Canada and the ... CRS-3 updated several times thereafter. These figures reflect the ...
From the National Museum of American History and U.S. Citizenship and Immigration Services. ... Canada is the country to the north of the United States.
Jul 15, 2022 — For part of its length, the boundary between the United States and Mexico follows a river called the Rio Grande. The borders of four countries ...
",80600000.0
