question,truthValue,snippet,description,results
four lung found human body,False,nan,human have two lung right lung left lung . situated within thoracic cavity chest . right lung is bigger than left which share space chest with heart . lung together weigh approximately 1.3 kilogram 2.9 lb right is heavier . human have two lung right lung left lung . situated within thoracic cavity chest . right lung is bigger than left which share space chest with heart . lung together weigh approximately 1.3 kilogram 2.9 lb right is heavier.21 juni 2021 lung pair spongy air-filled organ located on either side chest thorax . trachea windpipe conduct inhaled air ... verstt den hr sidan lung respiratory system allow u breathe . bring oxygen body called inspiration inhalation send carbon dioxide out ... lung . upper respiratory tract is made up nose . nasal cavity ... body 's cell need oxygen live carry out normal functions.av r chaudhry 2021 citerat av 16 purpose lung is provide oxygen blood . ... general four segment left upper lobe anterior apicoposterior ... broad coastal surface lung is pressed against rib cage while ... lung become smaller structure wall changes.14 dec. 2018 look like tiny grape bunch very tiny balloon . about 600 million alveolus lung . small bubble shape ... lung major organ respiratory system divided ... blood cell release oxygen pick up carbon dioxide ...,180.0
human body consists 150 bone,False,nan,adult human skeleton is made up 206 bone . these include bone skull spine vertebra rib arm leg . bone made connective tissue reinforced with calcium specialised bone cell . most bone also contain bone marrow where blood cell made . adult human skeleton is made up 206 bone . these include bone skull spine vertebra rib arm leg . bone made connective tissue reinforced with calcium specialised bone cell . most bone also contain bone marrow where blood cell made.there total 206 bone adult human body . range size from tiniest found middle ear largest that form thigh.in term tissue type body may analyzed water fat connective tissue muscle bone etc . term cell type body contains hundred ... human skeleton internal skeleton that serf framework for body . framework consists many individual bone cartilages.2020/08/28 it simplest body is made up just four type particle.2019/04/16 bone have many function well supporting body structurally also protect vital organ allow u move where blood ... 2019/07/31 human body contains enough fat make seven bar soap . 30. between birth death human body go from having 300 bone just ... 2019/06/26 framework bone joint human body is both complex ... part body that contains most bone is hand.2022/06/13 it comprises cartilage bone tissue that collaboratively protect brain other sense organ located within skull . spine human ...,146000000.0
jupiter is smallest planet solar system,False,nan,largest planet solar system far is jupiter which beat out all other planet both mass volume . jupiter 's mass is more than 300 ... 2015/11/25 smallest planet solar system mercury largest planet jupiter provide many clue formation solar system ... 213 youtube sky telescope 2021/10/14 2021/10/14 a. mar b jupiter c mercury d earth . planet enormous astronomical body that neither star nor stellar remnants.the solar system is gravitationally bound system that includes ... fifth line from sun jupiter is far largest planet solar system more than twice massive all other planet combined.mercury is smallest planet solar system jupiter is largest.pluto wa once considered smallest planet since pluto is no longer ... four smaller inner planet mercury venus earth mar ... sun is closest planet sun smallest planet solar system 0.055 ... 1 jupiter is smallest planet solar system . - doubtnuthttps//www.doubtnut.com jupiter-is ... https//www.doubtnut.com jupiter-is ...,878000.0
mt . everest is highest mountain world,True,mount everest is highest himalayan mountain andat 8850 meter 29035 feetis considered highest point on earth . mount everest is peak himalaya mountain range . it is located between nepal tibet autonomous region china . mount everest is highest himalayan mountain andat 8850 meter 29035 feetis considered highest point on earth . mount everest is peak himalaya mountain range . it is located between nepal tibet autonomous region china . 19-may-2022,19-jan-2022 mount everest 's peak is highest altitude above mean sea level 29029 foot 8848 meter . mount chimborazo 's peak is furthest point ... 26-dec-2021 mount everest is tallest mountain above sea level while mauna kea can certainly claim world 's tallest mountain sea level ... mauna kea is over 10000 meter tall compared 8848.86 meter for mount everest - making it `` world 's tallest mountain . '' mauna kea - tallest mountain.mountain rangehighest mountainheightcountrieshimalayasmount everest8848 mnepal chinakarakoramk28611 mpakistanhindu kushtirich mir7708 mpakistanview 78 more rows12-may-2022 reaching elevation 29032 foot 8849 metre mount everest is highest mountain world . mount everest . mount everest . arsgera ... mount everest is earth 's highest mountain above sea level located mahalangur himal sub-range himalaya . chinanepal border run across ... 01-mar-2020 highest mountain world is mount everest sitting pretty 8848m himalaya nepal . it 's likely already knew that . after ... mount everest ha been inspiration for many guinness world record from simple fact being world 's highest peak being venue for ...,3040000.0
seed cotton get dispersed water,False,papus papus,3 answers2 feb 2014 many plant have seed that use water mean dispersal . seed float away from parent plant . mangrove tree live estuaries.6 aug 2020 cotton madar dandelion seed dispersed wind . have fine long hair around . easily carried away wind.many marine beach pond swamp plant have waterborne seed which buoyant being enclosed corky fruit air-containing fruit both example ... 1252 youtube naturalistoutreach 21 may 2012 21 may 2012q . cotton seed light covered with hair . which agent is most likely disperse cotton seed science . standard v.some seed have spine-like structure on . get stuck fur animal thus get spread different place . example beggar tick xanthium ... numerous specie flowering tree shrub many diverse unrelated plant family have evolved ingenious method seed dispersal good example ... some fruit have built-in mechanism can disperse whereas others require help agent like wind water animal figure 1 .,2440000.0
molecule is smallest unit matter,False,c molecule molecule group atom bonded together representing smallest fundamental unit chemical compound that can take part chemical reaction implies that can further divided atom . c molecule molecule group atom bonded together representing smallest fundamental unit chemical compound that can take part chemical reaction implies that can further divided atom .,1 answerdec 6 2018 8 answerswhy molecule is smallest unit matter molecule is smallest unit matter basic particle that make up atom electron proton ... 1 answer `` atom '' is smallest unit matter . neutrino ha molecule fundamental building block matter . which following process ... 1 answerlearn about structure atom atom make up matter . atom is smallest unit matter that retains all chemical property ... jan 6 2022 1. atom is smallest most fundamental unit matter . it consists nucleus surrounded electron . atom combine form ... aug 24 2021 molecule is smallest unit chemical compound . compound is substance made two more element . element chemical ...,4110000.0
sahara desert is biggest desert world,True,nan,sahara desert is largest hot desert world third largest overall after antarctica arctic . sahara desert cover incredible 9.2 million km which is almost same size china total 8 earth 's land area . sahara desert is largest hot desert world third largest overall after antarctica arctic . sahara desert cover incredible 9.2 million km which is almost same size china total 8 earth 's land area.with area 9200000 square kilometre 3600000 sq mi it is largest hot desert world third-largest desert overall smaller only ... 2022/02/24 sahara is largest hot desert world third-largest desert overall behind cold desert antarctica arctic ... sahara from arabic ar desert largest desert world . filling nearly all northern africa it measure approximately 3000 mile 4800 km ... 2012/12/13 sahara is not largest desert world . antarctica is largest desert world . desert not defined hot temperature ... 2020/10/13 antarctic is classified polar desert . measuring 5.5 million square mile it is largest desert world . sahara is ... rest earth 's desert outside polar area . largest is sahara desert subtropical desert northern africa . it cover surface area ... over 9 million square kilometer size covering most north africa largest sand desert world is sahara desert quite some way.2020/07/14 sahara is largest hot desert world can reach temperature up 122 degree fahrenheit 50 degree celsius during day ... 2022/05/16 largest hot desert world is sahara desert . while both arctic antarctic desert larger size cold desert ...,26600000.0
group monkey is called herd,False,monkey barrel troop . monkey barrel troop . pdf,monkey barrel troop mule pack otter family ox team yoke owl parliament parrot pandemonium pig ... 30 mar 2020 're more commonly called herd zeal dazzle zebra ha such nice ... collective name for mammal africa impala herd leopard leap lion pride sault troop monkey troop barrel carload cartload tribe otter ... 6 day ago here is comprehensive list collective name for variety animal . whenever animal gather group called following.the collective name for group ape is called shrewdness . b for butterfly . group butterfly is called kaleidoscope imagine ... classificationspecies namegroup namemammalsapesshrewdnessassespacebadgersceteview 105 more rowsthe collective noun for group some animal well known pride lion herd buffalo for example . here started with my personal ... 2 aug 2021 according oxford dictionary list proper term for group thing organized gathering kangaroo monkey baboon all ... 17 sept 2019 what call group animal troop cartload monkey barren span mule watch nightingale parliament owl .,975000.0
century consists one hundred year,True,nan,start end century century is period 100 year . century numbered ordinally english many other language . word century ... recurring once every 100 year centenary celebration . noun plural centenary . centennial . period 100 year century.8 sept 2018 century is period 100 year derived from latin word centum meaning one hundred . therefore decade is 10 year century is 100 year ... consisting hundred year completing that term . pertaining hundred year . happening every hundred year . anniversary meaning for both ... century is period hundred year that is used stating date . for example 19th century wa period from 1801 1900.23 jul 2022 century is period 100 year . ... word century come from latin centum meaning one hundred . century is sometimes abbreviated ... century is period hundred year for example 19th 20th century . 19th century includes year between 1901-2000. whereas period lasting ... era age usually made up more than one century one hundred year . we find out about age era we can learn about what happened ... 100 second century began with year a.d. 101. while period 1900-1999 is course century is any period 100 year it is incorrect label ...,1180000000.0
chlorophyll is responsible for green color plant .,True,chlorophyll give plant green color because it doe not absorb green wavelength white light . that particular light wavelength is reflected from plant it appears green . plant that use photosynthesis make own food called autotroph . chlorophyll give plant green color because it doe not absorb green wavelength white light . that particular light wavelength is reflected from plant it appears green . plant that use photosynthesis make own food called autotroph . jul 15 2022,green plant green because contain pigment called chlorophyll . chlorophyll absorbs certain wavelength light within visible light spectrum . ... aug 28 2019 plant leaf look green because special pair chlorophyll molecule us red end visible light spectrum ... jul 30 2020 pigment chlorophyll green plant absorb light transfer energy reaction center where production chemical ... chlorophyll is pigment which is responsible for green colour plant ... plant appear green due presence pigment called chlorophyll.chlorophyll is responsible for green color many plant algae . microscope image plant cell with chloroplast visible small green ball . seen ... o virtanen 2020 cited 8 plant leaf green because contain green photosynthetic pigment chlorophyll b. popular science literature sometimes ... jul 28 2021 chlorophyll is green pigment found all plant . green pigment is not only responsible for giving plant green color ... jul 7 2022 chlorophyll is found virtually all photosynthetic organism including green plant cyanobacteria algae . it absorbs energy from ... answer 2 chlorophyll is green pigment that give most plant color . reason that it is green is because it absorbs other color light such ...,2210000.0
crocodile shed tear eat food,True,cause tear crocodilian is unclear . apparently hiss lot while eating something do with sinus might activating tear gland . also shed tear just from being on land for while whether not eating . cause tear crocodilian is unclear . apparently hiss lot while eating something do with sinus might activating tear gland . also shed tear just from being on land for while whether not eating . may 10 2018,jul 5 2012 today found out crocodile really do shed tear eat . it ha been known for century that crocodile weep while eating.255 youtube today found out jun 27 2016 jun 27 2016oct 4 2007 someone feigns sadness cry crocodile tear phrase that come from old myth that animal cry while eating.may 28 2021 conclusive research 2006 ha for now ended debate it wa proved that crocodile indeed weep while eat is ... while scientist do n't believe that crocodile capable sympathy crocodile do tend shed tear while eating . is likely physical response that ... phrase derives from ancient belief that crocodile shed tear while consuming prey such is present many modern language ... jul 20 2021 crocodile do actually cry . spend enough time out water eye dry out weep keep lubricated . belief ... 4 answer,5800000.0
u share border with three country,False,country border canada north ha 3155 km long border mexico south . united state share maritime border with bahamas cuba russia alaska . country border canada north ha 3155 km long border mexico south . united state share maritime border with bahamas cuba russia alaska .,while united state ha relatively complicated maritime boundary it share international land border with only two nation ... united state also share maritime boundary with bahamas three ... feb 23 2018 u share it land border with two nation mexico canada.the united state america 48 state alaska hawaii currently border land sea canada mexico . sea maritime borders.nov 9 2006 length alaska-canada border alone is 1538 mile . table below list 13 u.s. state that share international boundary ... jc beaver cited 50 u.s. state that share international boundary with canada ... crs-3 updated several time thereafter . these figure reflect ... from national museum american history u.s. citizenship immigration service . ... canada is country north united states.jul 15 2022 for part it length boundary between united state mexico follows river called rio grande . border four country ...,80600000.0
tallest building world is burj khalifa .,True,nan,tallest existing structure 829.8 m 2722 ft previously kvly-tv mast 628.8 m 2063 ft tallest structure ever built 829.8 m 2722 ft previously ... dubai 's 828 m 2716 ft 6 high burj khalifa became tallest building world it wa officially opened january 2010.burj khalifa khalifa also spelled khalfah mixed-use skyscraper dubai united arab emirate that is world 's tallest building according all ... over 828 metre 2716.5 foot more than 160 story burj khalifa hold following record tallest building world tallest free-standing ... oct 22 2021 burj khalifa tallest building world stand whopping 829.8 m tip tip . 163 floor tall skyscraper.may 26 2022 standing 2716.5 foot dubai 's burj khalifa is tallest building world . it 's tall that people on top bottom ... may 26 2022 standing 2716.5 foot dubai 's burj khalifa is tallest building world . it 's tall that people on top bottom ... burj dubai is tallest building that ha ever been built . world 's tallest skyscraper located united arab emirate is 828 metre tall.burj khalifa is megatall skyscraper dubai united arab emirate building is best known for being current world 's tallest skyscraper .,
french is official language spain,False,most language spoken spain belong romance language family which spanish is only language which ha official status for whole country . most language spoken spain belong romance language family which spanish is only language which ha official status for whole country . official spanish country-wide catalan/valen ... immigrant spanish portuguese darija berber ... signed spanish sign language catalan sign ... regional asturian/leonese tarifit darija ara ...,french is official language fon yom yoruba national language . burkina faso multilingual country is home estimated 70 languages.languages france arabic portuguese spanish italian german polish berber turkish english vietnamese english 39 spanish 13 german 8in 21st century with spanish it is official language comunidad autnoma autonomous community galicia . 2008 portuguese parliament ... spanish is only official national language spain it is far most common language spoken throughout spain . may surprised commonly ... 10-sept-2020 most popular foreign language spain english french romanian . 11.7 ... 28-dec-2020 main foreign language spain english french german . approximately 27 population speaks english . some english speaker ... 05-jul-2022 spanish castilian castellano is official language spain spoken majority people . co-official language exist ... arabic chinese english french russian spanish . official language language which all official united nation document made available .,538000000.0
evergreen forest mostly found hilly region,False,nan,tropical evergreen forest found western slope western ghat hill northeastern region andaman nicobar island . tropical evergreen forest tree reach great height i.e . up 60 m even above . largely these tree do not have fixed time shed leaf . tropical evergreen forest found western slope western ghat hill northeastern region andaman nicobar island . tropical evergreen forest tree reach great height i.e . up 60 m even above . largely these tree do not have fixed time shed leaves.the mangrove evergreen forest biodiverse wetland typically found tropical subtropical region . these evergreen forest play imperative ... traduire cette page region region region evergreen forest is forest made up evergreen tree . occur across wide range climatic zone include tree such conifer ... termes manquants hilly hillyin india evergreen forest found western slope western ghat state such kerala karnataka . also found hill jaintia ... tropical evergreen forest usually occur area receiving more than 200 cm rainfall ... also found hill jaintia khasi.traduire cette page 1rponse dry tropical forest found mainly indian north hilly region . average rainfall varies from 51 cm 151 cm . alpine forest present ... disha expert 2020what type forest is found hilly region kaimur on ... which these is tree belonging dry deciduous forest region bihar ...,5.0
nile is not longest river world,False,nan,jun 17 2007 amazon river not nile is longest world team brazilian scientist claims.6 day ago nile ha two major tributary white nile blue nile . white nile is longest two originates burundi . ... aug 8 2018 it ha only been since 2007 that amazon ha been considered longest river world . for year river actually came second ... nov 29 2016 nile river is considered longest river world it actual length is matter debate.may 2 2022 longest river world mighty nile enjoys more fame than most other river protagonist legend historical ... nile river arabic bar al-nl nahr al-nl longest river world called father african river . it rise south equator flow ... may 19 2022 nile river flow over 6600 kilometer 4100 mile until emptying mediterranean sea . for thousand year river ha ... nov 12 2013 have it amazon is now not only famous for being world 's largest river water volume it carry four time much water ...,1580000.0
elephant largest animal world,True,nan,elephant largest land mammal on earth have distinctly massive body large ear long trunk . use trunk pick up object trumpet warning greet other elephant suck up water for drinking bathing among other us . elephant largest land mammal on earth have distinctly massive body large ear long trunk . use trunk pick up object trumpet warning greet other elephant suck up water for drinking bathing among other uses.2019/03/18 elephant largest land animal on earth 're one most unique-looking animal . with characteristic long ... african elephant largest land animal on earth . slightly larger than asian cousin can identified larger ear that ... 1. 're world 's largest land animal . african savanna bush elephant is world 's largest land animal with adult male bull ... 2021/11/23 sri lankan elephant is largest asian specie with largest individual having reached past 12000 pound ! one distinguishing ... african elephant largest land animal world today . largest african elephant ever recorded wa found angola rocking massive ... biggest animal on planet ever blue whale balaenoptera musculus biggest land animal world weight african bush elephant loxodonta ... largest living land animal is african elephant which can weigh up 6350 kg 7 ton typically grow 35 ft 10.6 m from trunk tail ... african elephant largest land animal on earth currently is african elephant . have been animal far greater than african elephant 4 ... whale largest sea creature . these two huge animal may fact related . biologist now believe ancestor elephant once lived sea .,31900000.0
capital australia is sydney,True,canberra act canberra act,jul 5 2022 sydney city capital state new south wale australia . located on australia 's southeastern coast sydney is country 's largest ... someone asks where capital australia is most will guess sydney melbourne . would is wrong capital australia canberra.sydney is capital city state new south wale most populous city both australia oceania . located on australia 's east coast ... sydney is not capital australia because political rivalry that existed between colony . although were many advocate for making sydney ... may 11 2017 sydney is not capital australia it location wa first european settlement on continent that wa eventually named australia . it ha always ... accordingly australian made canberra capital country because canberra wa situated middle point between sydney melbourne . ... may 14 2003 2 answers1 answer,118000000.0
shark mammal,False,nan,jun 30 2022 while shark not mammal certain type called viviparous shark such hammerhead shark do give birth live young.sharks not mammal shark fish . shark lack mammalian characteristic such hair lung do not produce milk . being fish shark have ... oct 8 2020 no shark not mammal . all specie shark classified fish . shark do not have mammary gland do not feed young ... shark not mammal do not posse any characteristic feature that define mammal . for instance not warm-blooded . shark ... shark mammal ... on other hand shark subgroup fish . some shark do give birth live young do not nurse 're not warm- ... nov 17 2021 shark mammal fish ... already discussed above shark fish meaning that shark not mammal . ... mammal from mammalian ... we have explained shark not mammal . shark is cartilaginous fish . skeleton shark is n't made up bone cartilage . some specie ... 3 answersmost people think shark mammal give birth young one pup some do lay egg . all specie 70 shark bear live one ...,14500000.0
closest planet sun is venus,False,kid-friendly venus venus is second planet from sun earth 's closest planetary neighbor . even though mercury is closer sun venus is hottest planet solar system . venus is second planet from sun earth 's closest planetary neighbor . even though mercury is closer sun venus is hottest planet solar system .,mar 12 2019 other word mercury is closer earth on average than venus is because it orbit sun more closely . further mercury is closest ... dec 10 2021 common sense would say answer is either mar venus next door neighbor . two venus come closer earth than any other ... venus is not considered nearest planet . it is hottest planet even though it is far away from sun compared mercury . degree hotness doe not ... jul 4 2022 jul 4 2022 inner four planet closest sun mercury venus earth mar often called `` terrestrial planet '' because surface ... may 28 2010 mercury is closest planet sun . venus is second closest planet sun earth is third closest planet ... mercury is nearest planet sun . venus is second nearest planet sun earth is third nearest planet sun.the order planet from sun starting closest moving outwards mercury venus earth mar jupiter saturn uranus neptune.this is because while tiny planet doe not get close earth mar venus can it never get quite far away either . moreover mercury is ...,45600000.0
